"filename", "language", "HTML", "TypeScript", "SCSS", "comment", "blank", "total"
"h:\DA12\15_modul15\join2\src\app\main-dialog-add-contact\main-dialog-add-contact.component.ts", "TypeScript", 0, 97, 0, 1, 15, 113
"h:\DA12\15_modul15\join2\src\app\main-dialog-add-task\main-dialog-add-task.component.html", "HTML", 172, 0, 0, 0, 25, 197
"h:\DA12\15_modul15\join2\src\app\main-dialog-add-task\main-dialog-add-task.component.scss", "SCSS", 0, 0, 731, 2, 158, 891
"h:\DA12\15_modul15\join2\src\app\main-dialog-add-task\main-dialog-add-task.component.spec.ts", "TypeScript", 0, 17, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\main-dialog-add-task\main-dialog-add-task.component.ts", "TypeScript", 0, 338, 0, 4, 41, 383
"h:\DA12\15_modul15\join2\src\app\main-dialog-edit-contact\main-dialog-edit-contact.component.html", "HTML", 76, 0, 0, 2, 14, 92
"h:\DA12\15_modul15\join2\src\app\main-dialog-edit-contact\main-dialog-edit-contact.component.scss", "SCSS", 0, 0, 226, 1, 48, 275
"h:\DA12\15_modul15\join2\src\app\main-dialog-edit-contact\main-dialog-edit-contact.component.spec.ts", "TypeScript", 0, 17, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\main-dialog-edit-contact\main-dialog-edit-contact.component.ts", "TypeScript", 0, 96, 0, 3, 14, 113
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-edit-view\main-dialog-task-details-and-edit-edit-view.component.html", "HTML", 168, 0, 0, 2, 26, 196
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-edit-view\main-dialog-task-details-and-edit-edit-view.component.scss", "SCSS", 0, 0, 731, 2, 158, 891
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-edit-view\main-dialog-task-details-and-edit-edit-view.component.spec.ts", "TypeScript", 0, 17, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-edit-view\main-dialog-task-details-and-edit-edit-view.component.ts", "TypeScript", 0, 407, 0, 33, 65, 505
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-task-view\main-dialog-task-details-and-edit-task-view.component.html", "HTML", 69, 0, 0, 5, 9, 83
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-task-view\main-dialog-task-details-and-edit-task-view.component.scss", "SCSS", 0, 0, 242, 0, 51, 293
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-task-view\main-dialog-task-details-and-edit-task-view.component.spec.ts", "TypeScript", 0, 17, 0, 0, 5, 22
"h:\DA12\15_modul15\join2\src\app\main-dialog-task-details-and-edit-task-view\main-dialog-task-details-and-edit-task-view.component.ts", "TypeScript", 0, 65, 0, 3, 14, 82
